ticket_id,caller,short_description,description,business_service,assignment_group,priority,resolution_notes,created_date,status
INC001025,Emma Mueller,Guest WiFi down across entire property,Guest WiFi is completely unavailable on all floors. Front desk is receiving multiple complaints from guests unable to connect.,Guest WiFi Network,Network Operations Team,1 - Critical,Core wireless controller had crashed due to a firmware bug. Failed over to the secondary controller and scheduled a firmware patch for the primary unit.,2025-12-11 20:23:49,Resolved
INC001028,Aisha Mueller,Guest WiFi slow in conference rooms,"Conference room WiFi is extremely slow during an ongoing corporate event, guests cannot load video calls.",Guest WiFi Network,Network Operations Team,2 - High,Access points in the conference wing were oversubscribed. Added a temporary access point and rebalanced client load across channels.,2025-09-18 08:21:49,Resolved
INC001030,Grace Park,Guest WiFi captive portal not loading,"Guests report the WiFi captive portal login page never loads after connecting to the guest network, even though the connection shows as active.",Guest WiFi Network,Network Operations Team,2 - High,Captive portal DNS redirect rule had been misconfigured during a router update. Corrected the redirect rule and verified portal loads on multiple devices.,2026-01-31 10:52:49,Resolved
INC001032,Carlos Smith,WiFi password not working for loyalty members,Loyalty program members report their dedicated WiFi access code is not being accepted by the guest WiFi portal.,Guest WiFi Network,Network Operations Team,3 - Moderate,Loyalty WiFi access code list had not synced from the CRM. Triggered manual sync and confirmed codes worked for affected guests.,2026-02-22 05:45:49,Resolved
INC001035,Yuki Cohen,Guest unable to enter room with key card,Guest reports their room key card is not opening the door even after front desk re-encoded it twice.,Door Lock & Key System,Security Systems Team,1 - Critical,"Door lock battery was critically low causing intermittent reads. Replaced lock battery and re-encoded key card, confirmed access restored.",2026-05-17 00:38:49,Resolved
INC001038,Priya Hughes,Electronic door lock audit log not syncing,Security team reports that several door lock audit logs have not synced to the central security system in over 24 hours.,Door Lock & Key System,Security Systems Team,3 - Moderate,"Lock gateway on the affected floor had lost network connectivity. Reconnected gateway and triggered manual log upload, confirming logs synced.",2025-11-28 11:07:49,Resolved
INC001040,Wei Rossi,Master key card not working on multiple floors,"Housekeeping supervisor's master key card is being rejected on floors 3 through 5, but works fine on other floors.",Door Lock & Key System,Security Systems Team,2 - High,"Access control group permissions for the master key profile were missing floors 3-5 after a system update. Updated access group and reissued key, confirmed working.",2026-02-12 08:01:49,Resolved
INC001043,Omar Park,Housekeeping app not showing room assignments,"Housekeeping staff cannot see their assigned rooms for the day in the mobile housekeeping app, list appears empty for everyone.",Housekeeping Mobile App,Mobile Apps Support Team,1 - Critical,Room assignment batch job that runs nightly had failed due to a database connection timeout. Re-ran the batch job manually and assignments appeared correctly.,2025-12-16 00:28:49,Resolved
INC001047,Aisha Smith,Housekeeping app crashes when marking room clean,Housekeeping app crashes consistently whenever staff try to mark a room as 'clean' on Android devices.,Housekeeping Mobile App,Mobile Apps Support Team,2 - High,A recent app update introduced a null pointer issue on the room-status update screen. Rolled back to the previous stable app version while a fix is prepared.,2026-04-24 02:56:49,Resolved
INC001049,Omar Khan,Housekeeping app not syncing with PMS room status,"Rooms marked clean in the housekeeping app are not updating the room status in Opera PMS, causing front desk to see incorrect status.",Property Management System,PMS Support Team,2 - High,Integration middleware queue between the housekeeping app and PMS had backed up. Cleared the queue backlog and confirmed real-time sync resumed.,2025-12-03 18:58:49,Resolved
INC001053,Wei Garcia,Lost & found item log missing entries in housekeeping app,Several lost and found item entries logged yesterday are missing from the housekeeping app's lost and found section.,Housekeeping Mobile App,Mobile Apps Support Team,4 - Low,Entries had been saved locally on a device with no signal and never synced. Reconnected device to WiFi which triggered successful sync of pending entries.,2025-07-05 08:29:49,Resolved
INC001056,Carlos Nguyen,Revenue management tool showing stale occupancy data,Revenue manager reports the revenue management tool is showing occupancy figures from three days ago instead of real-time data.,Revenue Management System,Revenue Systems Team,2 - High,Nightly ETL job feeding occupancy data from Opera PMS had failed silently. Re-ran ETL job manually and verified occupancy figures updated to current data.,2026-01-19 18:26:49,Resolved
INC001060,Maria Cohen,Revenue management tool rate recommendations not generating,The revenue management tool has stopped generating automated rate recommendations for the next 30 days.,Revenue Management System,Revenue Systems Team,3 - Moderate,Forecasting model service had run out of memory and crashed. Restarted the forecasting service with increased memory allocation and confirmed recommendations resumed.,2025-10-06 02:04:49,Resolved
INC001061,Fatima Tanaka,Revenue management dashboard charts not rendering,Revenue management dashboard shows blank charts for all KPIs after the recent browser update on manager workstations.,Revenue Management System,Revenue Systems Team,4 - Low,Dashboard charting library was incompatible with the latest browser version. Applied a vendor-provided compatibility patch and confirmed charts rendered correctly.,2026-04-01 19:48:49,Resolved
INC001063,Maria Okafor,CRS not reflecting newly closed-out room types,The central reservation system is still allowing bookings for a room type that was closed out for renovation two days ago.,Central Reservation System,Reservations Systems Team,1 - Critical,"Inventory closeout had only been applied in Opera PMS, not pushed to CRS due to a failed integration job. Re-triggered the CRS sync job and confirmed room type closed.",2025-10-12 07:29:49,Resolved
INC001066,Fatima Silva,CRS double-booking same room across channels,Two different OTA channels both show the same room as available and a guest was double-booked through CRS for the same dates.,Central Reservation System,Reservations Systems Team,1 - Critical,CRS inventory allocation buffer had been set incorrectly after a configuration change. Corrected allocation rules and manually resolved the double booking with the guest.,2026-05-20 23:40:49,Resolved
INC001067,Aisha Hughes,CRS integration delay with third-party OTA,Reservations made on a major OTA are taking over an hour to appear in the central reservation system instead of near real-time.,Central Reservation System,Reservations Systems Team,3 - Moderate,"OTA integration connector had hit an API rate limit. Adjusted polling interval and requested a rate limit increase from the OTA, confirming delay resolved.",2026-05-14 13:47:49,Resolved
INC001069,Sofia Hughes,Spa booking module not showing available appointment slots,Guests trying to book a spa treatment online see no available slots even though the spa calendar has several open appointments.,Spa & Activities Booking,Guest Services Apps Team,2 - High,"Spa booking module's calendar cache had not refreshed after staff scheduling changes. Cleared cache and forced refresh, confirming slots displayed correctly.",2025-09-11 02:20:49,Resolved
INC001073,Priya Tanaka,Spa booking confirmation not linking to guest folio,Spa treatments booked through the spa module are not appearing on the guest's room folio in Opera PMS for billing.,Property Management System,PMS Support Team,2 - High,Folio posting interface between the spa module and PMS had an authentication token expire. Renewed the integration token and confirmed charges posted to folio.,2025-06-18 22:11:49,Resolved
INC001076,Grace Costa,Activities booking page throwing error on submit,"Guests attempting to book a property activity (e.g., kayak tour) receive a generic error message when clicking the submit button.",Spa & Activities Booking,Guest Services Apps Team,3 - Moderate,"A required field validation rule was misconfigured after a recent update, rejecting valid submissions. Fixed validation logic and confirmed bookings submitted successfully.",2026-04-19 00:22:49,Resolved
INC001077,Carlos Garcia,Spa booking module slow to load on mobile,Guests report the spa and activities booking page takes over 30 seconds to load on mobile devices.,Spa & Activities Booking,Guest Services Apps Team,4 - Low,"Unoptimized images on the booking page were causing excessive load times. Compressed and resized images, reducing load time to under 3 seconds.",2025-08-21 14:22:49,Resolved
INC001079,Maria Khan,Accounts payable module rejecting vendor invoice uploads,"Finance team cannot upload vendor invoices to the accounts payable module, system returns a generic upload error every time.",Back-Office Finance System,Finance Systems Team,2 - High,File upload size limit had been reduced during a recent server configuration change. Restored the correct upload size limit and confirmed invoices uploaded successfully.,2025-06-21 11:33:49,Resolved
INC001081,Aisha Smith,Finance system showing incorrect tax calculation,Monthly financial report shows incorrect tax calculations for food and beverage outlets compared to expected tax rates.,Back-Office Finance System,Finance Systems Team,2 - High,Tax rate table had not been updated after a regional tax rate change. Updated tax configuration table and reprocessed the affected report.,2026-01-01 05:04:49,Resolved
INC001083,Wei Hughes,Back-office finance system login failures for new users,"Two newly onboarded finance team members are unable to log into the back-office finance system, receiving 'invalid credentials' errors.",Back-Office Finance System,Finance Systems Team,3 - Moderate,"New user accounts had been created in the wrong active directory group, blocking finance system SSO access. Corrected group membership and confirmed successful login.",2026-03-01 14:28:49,Resolved
INC001087,Daniel Hughes,Finance system month-end close report generation fails,"The month-end close report job fails partway through with a timeout error, blocking the finance team's close process.",Back-Office Finance System,Finance Systems Team,1 - Critical,"Report query had grown inefficient due to data volume growth and was timing out. Optimized the underlying query and added an index, completing the report successfully.",2025-11-23 01:30:49,Resolved
INC001088,Omar Larsen,Opera PMS group block not releasing rooms after cutoff,"A group reservation block was supposed to auto-release unsold rooms after the cutoff date, but the rooms remain held in Opera PMS.",Property Management System,PMS Support Team,3 - Moderate,Auto-release scheduled job for the group block had not been enabled correctly. Manually released the rooms and corrected the job configuration for future blocks.,2025-11-14 18:07:49,Resolved
INC001089,Liam Smith,POS unable to apply loyalty discount at checkout,Front desk and restaurant staff report the POS system is not applying loyalty member discounts automatically at checkout.,Point of Sale System,POS Support Team,3 - Moderate,Loyalty discount rule engine had a misconfigured tier mapping after a recent loyalty program update. Corrected tier mapping and validated discount applied correctly.,2025-11-24 08:15:49,Resolved
INC001090,Daniel Tanaka,Booking engine payment gateway timeout during checkout,"Several guests report the booking engine times out during the final payment step, though their cards are not charged.",Booking & Reservations Platform,Reservations Systems Team,1 - Critical,"Payment gateway provider was experiencing intermittent latency. Increased gateway timeout threshold and added retry logic, confirming successful checkouts resumed.",2026-03-13 14:08:49,Resolved
INC001092,Omar Mueller,Guest WiFi captive portal showing expired terms and conditions,Guests connecting to WiFi see an outdated terms and conditions page referencing a property that was rebranded last year.,Guest WiFi Network,Network Operations Team,4 - Low,"Captive portal content had not been updated after the property rebrand. Updated portal content with current branding and terms, verified on test device.",2026-01-27 17:21:49,Resolved
INC001093,Grace Nguyen,Door lock system reporting false low battery alerts,Security team is receiving low battery alerts for several door locks that had their batteries replaced last week.,Door Lock & Key System,Security Systems Team,4 - Low,Battery sensor firmware bug was causing incorrect readings after replacement. Applied vendor firmware patch to affected locks and cleared false alerts.,2026-05-24 11:02:49,Resolved
INC001094,Aisha Silva,Housekeeping app unable to log lost room inspection results,Housekeeping supervisors cannot submit room inspection checklists in the app for the executive floor rooms specifically.,Housekeeping Mobile App,Mobile Apps Support Team,3 - Moderate,Executive floor rooms were missing from the inspection checklist template mapping. Updated template mapping to include executive floor and confirmed submissions worked.,2026-03-25 18:05:49,Resolved
INC001098,Priya Park,Revenue management tool unauthorized access alert,Security monitoring flagged an unusual login attempt to the revenue management tool from an unrecognized IP address.,Revenue Management System,Revenue Systems Team,1 - Critical,Investigation confirmed a former employee's account had not been deactivated after offboarding. Disabled the account immediately and forced password reset on related accounts.,2026-05-20 02:12:49,Resolved
INC001099,Yuki Cohen,CRS rate parity mismatch with brand website,Revenue team noticed rates shown on the central reservation system do not match rates on the brand's main website for the same dates.,Central Reservation System,Reservations Systems Team,2 - High,A rate update had been pushed to CRS but not propagated to the brand website cache. Forced cache refresh on brand website and confirmed rate parity restored.,2025-10-29 22:09:49,Resolved
INC001103,Sofia Tanaka,Spa booking module double-charging guest credit card,A guest was charged twice for the same spa appointment booked through the online spa booking module.,Spa & Activities Booking,Guest Services Apps Team,1 - Critical,A retry mechanism in the payment integration had a bug causing duplicate charge submissions on slow network responses. Issued refund to guest and deployed fix to prevent duplicate retries.,2026-01-19 01:33:49,Resolved
INC001104,Carlos Smith,Finance system unable to export report to Excel,Finance analysts report that exporting reports to Excel from the back-office finance system produces a corrupted file.,Back-Office Finance System,Finance Systems Team,4 - Low,Export module had a formatting bug introduced in the last release. Rolled back export module to previous version and confirmed exports opened correctly in Excel.,2026-05-24 13:06:49,Resolved
INC001106,James Khan,Opera PMS night audit process failing,"The nightly audit run in Opera PMS failed to complete, leaving room statuses and folios in an inconsistent state this morning.",Property Management System,PMS Support Team,1 - Critical,Night audit batch job failed due to a locked database table from an unrelated long-running report. Killed the blocking process and re-ran night audit successfully.,2026-03-16 04:58:49,Resolved
INC001107,Daniel Park,POS inventory counts not matching kitchen stock,Restaurant manager reports POS system inventory counts for key ingredients do not match actual kitchen stock after last night's service.,Point of Sale System,POS Support Team,3 - Moderate,POS inventory deduction rule for combo menu items was not deducting sub-ingredients correctly. Corrected recipe mapping and reconciled inventory counts.,2026-04-18 13:21:49,Resolved
INC001108,Aisha Ivanov,Booking engine mobile site layout broken,"Guests browsing the booking engine on mobile phones report the page layout is broken, with overlapping buttons and text.",Booking & Reservations Platform,Reservations Systems Team,2 - High,A recent CSS deployment introduced a responsive layout regression. Rolled back the CSS changes and verified mobile layout rendered correctly across devices.,2025-07-17 13:00:49,Resolved
INC001111,Wei Tanaka,Guest WiFi bandwidth throttled incorrectly for suite guests,"Suite guests, who are entitled to premium WiFi bandwidth, report speeds identical to standard rooms.",Guest WiFi Network,Network Operations Team,3 - Moderate,Bandwidth profile assignment for suite room WiFi accounts had reverted to default after a controller update. Reassigned correct bandwidth profiles and verified speeds improved.,2025-07-11 09:16:49,Resolved
INC001113,Wei Park,Door lock system fails to provision new guest key after room change,"When a guest is moved to a different room, the door lock system frequently fails to provision the new room's key card on the first attempt.",Door Lock & Key System,Security Systems Team,2 - High,Room change events were not always triggering the key provisioning webhook due to a timing race condition. Added a retry delay to the provisioning call and confirmed reliability improved.,2026-04-12 09:55:49,Resolved
INC001116,Grace Okafor,Housekeeping app push notifications not arriving,"Housekeeping staff are not receiving push notifications for new urgent cleaning requests, though requests appear when manually refreshing the app.",Housekeeping Mobile App,Mobile Apps Support Team,3 - Moderate,Push notification service certificate had expired. Renewed push notification certificate and confirmed notifications delivered immediately on test request.,2025-05-31 05:36:49,Resolved
INC001120,Liam Khan,Revenue management tool incorrect competitor rate data,"Revenue manager noticed competitor rate shopping data in the tool has not updated in five days, affecting pricing decisions.",Revenue Management System,Revenue Systems Team,2 - High,Third-party rate shopping data feed had changed their API response format without notice. Updated the data parser to match new format and confirmed feed resumed updating.,2025-09-17 01:04:49,Resolved
INC001123,Sofia Larsen,CRS unable to process group rooming list upload,Group coordinator's rooming list spreadsheet upload to the central reservation system fails with a generic processing error every time.,Central Reservation System,Reservations Systems Team,3 - Moderate,Spreadsheet contained a date format incompatible with the CRS importer. Provided corrected template to coordinator and successfully processed the rooming list upload.,2026-05-15 00:13:49,Resolved
INC001126,Noah Costa,Opera PMS reports module exporting blank PDFs,"Front office manager cannot generate daily arrivals PDF report from Opera PMS, exported file is blank.",Property Management System,PMS Support Team,3 - Moderate,PDF rendering engine ran out of temp disk space. Cleared temp directory and re-ran export successfully.,2025-09-13 09:17:49,Resolved
INC001127,Fatima Nguyen,POS Simphony offline mode not syncing after reconnect,Restaurant POS went into offline mode during a network blip and orders taken offline did not sync once connection returned.,Point of Sale System,POS Support Team,2 - High,Offline transaction queue had a corrupted entry blocking the sync. Removed corrupted entry and resynced remaining orders successfully.,2026-04-11 23:29:49,Resolved
INC001128,Sofia Cohen,Booking engine availability calendar shows wrong month,Guests report the booking engine date picker defaults to the wrong month after the recent daylight saving time change.,Booking & Reservations Platform,Reservations Systems Team,4 - Low,Timezone handling bug surfaced after DST change. Deployed timezone library patch and confirmed calendar displayed correct month.,2026-01-25 12:23:49,Resolved
INC001131,Priya Cohen,Guest WiFi onboarding SMS verification not arriving,Guests selecting SMS verification to join WiFi are not receiving the verification code text message.,Guest WiFi Network,Network Operations Team,3 - Moderate,SMS gateway provider had an account billing issue suspending messages. Resolved billing issue with provider and confirmed SMS delivery resumed.,2025-10-03 16:20:49,Resolved
INC001132,Aisha Ivanov,Door lock mobile key (digital key) fails on iOS app,Guests using the digital key feature in the mobile app to unlock their room report repeated failures on iOS devices only.,Door Lock & Key System,Security Systems Team,2 - High,Bluetooth pairing library had a compatibility issue with latest iOS release. Deployed app patch for Bluetooth handling and confirmed digital key worked on iOS.,2026-01-29 06:36:49,Resolved
